bank,review,clean_review,rating,date,source,sentiment,sentiment_score
CBE,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.","The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using WiFi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any nontechnical influences are removed from such essential services.",2,2025-05-25,Google Play,negative,0.9997401833534241
CBE,"this new update(Mar 19,2025) is great in fixing bugs, stability and smooth experience I'll give u that but it came with a big shortcoming which is not allowing to take screenshot. I can't screenshot neither my balance nor the transaction or anything within the app, i understand it's for security reasons but please bring that back, allow us to take screenshot we need that. Thanks.","this new updateMar 19,2025 is great in fixing bugs, stability and smooth experience Ill give u that but it came with a big shortcoming which is not allowing to take screenshot. I cant screenshot neither my balance nor the transaction or anything within the app, i understand its for security reasons but please bring that back, allow us to take screenshot we need that. Thanks.",4,2025-03-20,Google Play,negative,0.998134195804596
CBE,"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.","Good job to the CBE team on this mobile app! Its designed in a way thats simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. Its a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,Google Play,positive,0.9997897744178772
CBE,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,this app has developed in a very good ways but there are some comments I need to make 1 preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2it would be good if you make us to access recent transaction histories for 30 days coz we dont have to go to the Banks in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Google Play,negative,0.9980068802833557
CBE,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).","everytime you uninstall the app you have to reach them out physically. very oldy! if thats one of security layer, theyd check for fraud attempt via app source directlysource: app store, play store ... etc implicitly ! we are in 2025, physical presence for every app install is traditionaltraditionally very rare.",1,2025-06-04,Google Play,negative,0.9604219794273376
CBE,as if the update of march 19 i can't take a screenshot in the app. i can just save it as file and that is so annoying. i used to save all screenshot in my gallery in one folder now with the extra steps added i have to save the file go to file and then screenshot it. the solution is to allow the screenshot to be save in to gallery automatically. i wish you give this review attention and resolve the issue shortly.,as if the update of march 19 i cant take a screenshot in the app. i can just save it as file and that is so annoying. i used to save all screenshot in my gallery in one folder now with the extra steps added i have to save the file go to file and then screenshot it. the solution is to allow the screenshot to be save in to gallery automatically. i wish you give this review attention and resolve the issue shortly.,2,2025-03-19,Google Play,negative,0.9995342493057251
CBE,"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.","Old version was very friendly to use. Now we cant see the Reason The transaction history very limited and now it crash every time its opened. More over, the last update prevents us from taking screenshots. Thanks for the developers as they are getting more stupid than ever.",1,2025-03-21,Google Play,negative,0.9988980293273926
CBE,Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot which you prevented to be taken in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,1,2025-03-20,Google Play,negative,0.9997130036354065
CBE,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again","Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, its very frustrating its been 5 days and my money hasnt been returned it takes it out of my account but doesnt send it to my mpesa update they have just corrected it and sent me back the money but still Im afraid now to send again",2,2025-05-31,Google Play,negative,0.9990647435188293
CBE,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error cant do this transaction. inactive account.,4,2025-05-27,Google Play,negative,0.999467670917511
CBE,"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.","Its very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you cant get in simple search on the app.",1,2025-02-15,Google Play,negative,0.9949551224708557
CBE,It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I dont know who thought this was a good idea.,1,2025-03-26,Google Play,negative,0.999254047870636
