bank,review,clean_review,rating,date,source,sentiment,sentiment_score,keywords,themes
CBE,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.","The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using WiFi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any nontechnical influences are removed from such essential services.",2,2025-05-25,Google Play,negative,0.999740183353424,"['unreliable', 'recent', 'week', 'fail', 'work', 'network', 'wifi', 'mobile', 'datum', 'week', 'system', 'extended', 'period', 'make', 'difficult', 'access', 'banking_service', 'service', 'app', 'function', 'lack', 'consistency', 'frustrating', 'hope', 'issue', 'address', 'nontechnical', 'influence', 'remove', 'essential', 'service']","['transaction_issues', 'login_authentication', 'customer_support', 'ui_ux_design', 'service_features']"
CBE,"this new update(Mar 19,2025) is great in fixing bugs, stability and smooth experience I'll give u that but it came with a big shortcoming which is not allowing to take screenshot. I can't screenshot neither my balance nor the transaction or anything within the app, i understand it's for security reasons but please bring that back, allow us to take screenshot we need that. Thanks.","this new updateMar 19,2025 is great in fixing bugs, stability and smooth experience Ill give u that but it came with a big shortcoming which is not allowing to take screenshot. I cant screenshot neither my balance nor the transaction or anything within the app, i understand its for security reasons but please bring that back, allow us to take screenshot we need that. Thanks.",4,2025-03-20,Google Play,negative,0.998134195804596,"['new', 'great', 'fix', 'bug', 'stability', 'smooth', 'experience', 'come', 'big', 'shortcoming', 'allow', 'screenshot', 'screenshot', 'balance', 'transaction', 'app', 'understand', 'security_reason', 'reason', 'bring', 'allow', 'screenshot', 'need', 'thank']","['transaction_issues', 'app_performance', 'account_management', 'ui_ux_design', 'service_features']"
CBE,"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.","Good job to the CBE team on this mobile app! Its designed in a way thats simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. Its a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,Google Play,positive,0.9997897744178772,"['good', 'job', 'team', 'mobile', 'app', 'design', 'way', 'simple', 'intuitive', 'navigate', 'great', 'handle', 'essential', 'banking_task', 'task', 'need', 'perform', 'practical', 'reliable', 'tool', 'make', 'everyday', 'bank', 'convenient', 'thank', 'useful', 'application']","['customer_support', 'ui_ux_design', 'service_features']"
CBE,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,this app has developed in a very good ways but there are some comments I need to make 1 preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2it would be good if you make us to access recent transaction histories for 30 days coz we dont have to go to the Banks in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Google Play,negative,0.9980068802833556,"['app', 'develop', 'good', 'way', 'comment', 'need', 'prevent', 'screenshot', 'good', 'coz', 'need', 'screenshot', 'quick', 'evidence', '2it', 'good', 'access', 'recent', 'transaction_history', 'history', 'day_coz', 'coz', 'bank', 'person', 'old', 'transaction', 'add', 'colander_category', 'category', 'user', 'access', 'old', 'transaction', 'colander']","['transaction_issues', 'login_authentication', 'account_management', 'ui_ux_design', 'service_features']"
CBE,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).","everytime you uninstall the app you have to reach them out physically. very oldy! if thats one of security layer, theyd check for fraud attempt via app source directlysource: app store, play store ... etc implicitly ! we are in 2025, physical presence for every app install is traditionaltraditionally very rare.",1,2025-06-04,Google Play,negative,0.9604219794273376,"['uninstall', 'app', 'reach', 'security_layer', 'layer', 'd_check', 'check', 'fraud_attempt', 'attempt', 'source_directlysource', 'directlysource', 'app_store', 'store', 'play', 'store', 'physical', 'presence', 'app_install', 'install', 'rare']","['app_performance', 'account_management', 'service_features']"
CBE,as if the update of march 19 i can't take a screenshot in the app. i can just save it as file and that is so annoying. i used to save all screenshot in my gallery in one folder now with the extra steps added i have to save the file go to file and then screenshot it. the solution is to allow the screenshot to be save in to gallery automatically. i wish you give this review attention and resolve the issue shortly.,as if the update of march 19 i cant take a screenshot in the app. i can just save it as file and that is so annoying. i used to save all screenshot in my gallery in one folder now with the extra steps added i have to save the file go to file and then screenshot it. the solution is to allow the screenshot to be save in to gallery automatically. i wish you give this review attention and resolve the issue shortly.,2,2025-03-19,Google Play,negative,0.9995342493057252,"['update', 'screenshot', 'app', 'save', 'file', 'annoying', 'save', 'screenshot', 'gallery', 'folder', 'extra', 'step', 'add', 'save', 'file', 'file', 'screenshot', 'solution', 'allow', 'screenshot', 'save', 'gallery', 'wish', 'review_attention', 'attention', 'resolve', 'issue']","['app_performance', 'account_management', 'customer_support', 'service_features']"
CBE,"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.","Old version was very friendly to use. Now we cant see the Reason The transaction history very limited and now it crash every time its opened. More over, the last update prevents us from taking screenshots. Thanks for the developers as they are getting more stupid than ever.",1,2025-03-21,Google Play,negative,0.9988980293273926,"['old', 'version', 'friendly', 'use', 'reason', 'transaction_history', 'history', 'limited', 'crash', 'time', 'open', 'update', 'prevent', 'take', 'screenshot', 'thank', 'developer', 'get', 'stupid']","['app_performance', 'account_management', 'customer_support']"
CBE,Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot which you prevented to be taken in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,1,2025-03-20,Google Play,negative,0.9997130036354064,"['take', 'screenshot', 'receipt', 'silly', 'bad', 'tbe_download', 'download_button', 'button', 'put', 'copy', 'screenshot', 'prevent', 'take', 'tbe_download', 'download', 'folder', 'attach', 'whatsapp', 'million', 'people', 'use', 'screenshot', 'proof', 'payment_transfer', 'transfer', 'hard', 'user', 'contact', 'developer', 'manager', 'awful', 'decision']","['transaction_issues', 'customer_support', 'ui_ux_design']"
CBE,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again","Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, its very frustrating its been 5 days and my money hasnt been returned it takes it out of my account but doesnt send it to my mpesa update they have just corrected it and sent me back the money but still Im afraid now to send again",2,2025-05-31,Google Play,negative,0.9990647435188292,"['big', 'problem', 'send', 'telebir', 'wallet', 'responsible', 'fix', 'frustrating', 'day', 'money', 'return', 'take', 'account', 'send', 'mpesa_update', 'update', 'correct', 'send', 'money', 'afraid', 'send']","['transaction_issues', 'app_performance', 'account_management', 'customer_support']"
CBE,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error cant do this transaction. inactive account.,4,2025-05-27,Google Play,negative,0.999467670917511,"['app', 'year', 'problem', 'stop', 'work', 'month', 'try', 'transfer', 'fund', 'give', 'error', 'transaction', 'inactive', 'account']","['transaction_issues', 'app_performance', 'account_management', 'service_features']"
